Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Lande	Leading percentages	Reference
"4f13.(2F*<5/2>).6s.6p.(3P*<1>)"	"(5/2,1)"	"7/2"	""	"0.2716437"	""	""	"1.00"	"  65                :    15                                 (2F*<7/2>)(3P*<1>)      "	""
"4f13.(2F*<5/2>).6s.6p.(3P*<1>)"	"(5/2,1)"	"3/2"	""	"0.2720617"	""	""	"0.82"	"  82                :     5                                 (2F*<5/2>)(1P*<1>)      "	""
"4f13.(2F*<5/2>).5d2.(3F)"	"*"	"5/2"	""	"0.2708244"	""	""	"0.994"	"  33  3[3/2]*       :    29                                 (2F*<5/2>)(3F) 3[5/2]*  "	""
"4f13.(2F*<7/2>).5d2.(1G)"	"1[11/2]*"	"11/2"	""	"0.2722585"	""	""	"1.11"	"  73                :    14                                 (2F*<7/2>)(1D) 1[11/2]* "	""
"4f13.(2F*<7/2>).5d.6p.(3F*<3>)"	"(7/2,3)"	"3/2"	""	"0.2760522"	""	""	"1.323"	"  45                :    33                                 (2F*<7/2>)(1D*<2>)      "	""
"4f13.(2F*<7/2>).5d.6p.(3F*<3>)"	"(7/2,3)"	"1/2"	""	"0.2784854"	""	""	"1.661"	"  75                :     6                                 (2F*<5/2>)(3F*<2>)      "	""
"4f13.(2F*<7/2>).5d.6p.(3F*<3>)"	"(7/2,3)"	"13/2"	""	"0.2819160"	""	""	"1.10"	"  91                :     6                                 (2F*<7/2>)(3D*<3>)      "	""
"4f13.(2F*<7/2>).5d.6p.(3F*<3>)"	"(7/2,3)"	"5/2"	""	"0.2918598"	""	""	"1.108"	"  35                :    25                                 (2F*<7/2>)(3D*<1>)      "	""
"4f13.(2F*<7/2>).5d.6p.(3F*<3>)"	"(7/2,3)"	"9/2"	""	"0.2958115"	""	""	"1.10"	"  83                :     6                                 (2F*<7/2>)(3P*<1>)      "	""
"4f13.(2F*<7/2>).5d.6p.(3F*<3>)"	"(7/2,3)"	"7/2"	""	"0.2965862"	""	""	"0.973"	"  37                :    20                                 (2F*<7/2>)(3D*<2>)      "	""
"4f13.(2F*<7/2>).5d.6p.(3F*<3>)"	"(7/2,3)"	"11/2"	""	"0.3010929"	""	""	"1.141"	"  55                :    36                                 (2F*<7/2>)(3D*<2>)      "	""
"4f13.(2F*<5/2>).5d2.(3F)"	"*"	"3/2"	""	"0.2775270"	""	""	"1.00"	"  36  3[3/2]*       :    20                                 (2F*<5/2>)(3F) 3[1/2]*  "	""
"4f13.(2F*<7/2>).5d.6p.(1D*<2>)"	""	"5/2"	""	"0.2796428"	""	""	"1.299"	"  32  (7/2,2)       :    21                                 (2F*<7/2>)(3F*<2>)      "	""
"4f13.(2F*<7/2>).5d.6p.(3D*<2>)"	""	"7/2"	""	"0.2816844"	""	""	"1.327"	"  23  (7/2,2)       :    13                                 (2F*<7/2>)(3D*<2>)      "	""
"4f13.(2F*<5/2>).5d2.(3F)"	"3[5/2]*"	"7/2"	""	"0.2827027"	""	""	"1.14"	"  67                :    11                                 (2F*<5/2>)(1D) 1[7/2]*  "	""
"4f13.(2F*<5/2>).6s.6p.(3P*<2>)"	"(5/2,2)"	"1/2"	""	"0.2831167"	""	""	"0.08"	"  90                :     4  (2F*<5/2>).5d.6p.(3P*<2>)                              "	""
"4f13.(2F*<5/2>).6s.6p.(3P*<2>)"	"(5/2,2)"	"3/2"	""	"0.2871031"	""	""	"0.79"	"  77                :     5  (2F*<5/2>).5d.6p.(3P*<2>)                              "	""
"4f13.(2F*<5/2>).6s.6p.(3P*<2>)"	"(5/2,2)"	"9/2"	""	"0.2877954"	""	""	"1.12"	"  91                :     4  (2F*<5/2>).5d.6p.(3P*<2>)                              "	""
"4f13.(2F*<5/2>).6s.6p.(3P*<2>)"	"(5/2,2)"	"5/2"	""	"0.2902491"	""	""	"1.07"	"  84                :     4  (2F*<5/2>).5d.6p.(3F*<3>)                              "	""
