# Reduced electric-dipole matrix elements |<n1 l1 j1 || d || n2 l2 j2>| in e a0,
# from the Portal for High-Precision Atomic Data and Computation, https://www1.udel.edu/atom/
# (M. S. Safronova et al., linearized coupled-cluster method; retrieved 2026-07-28).
species,n1,l1,j1,n2,l2,j2,matrix_element,uncertainty
Li,4,2,1.5,6,1,1.5,0.715416,0.0015023
Li,4,2,2.5,6,1,1.5,2.1463,0.0045212
Li,5,2,1.5,6,1,1.5,3.55252,0.0096412
Li,5,2,2.5,6,1,1.5,10.6579,0.028995
Li,6,1,1.5,6,2,1.5,26.3498,0.0131749
Li,6,1,1.5,6,2,2.5,79.0497,0.0395248
Li,6,1,1.5,7,2,1.5,8.74078,0.0157782
Li,6,1,1.5,7,2,2.5,26.2223,0.046914
Li,6,1,1.5,8,2,1.5,3.66187,0.0042024
Li,6,1,1.5,8,2,2.5,10.9856,0.012716
Li,6,1,1.5,9,2,1.5,2.19519,0.0045079
Li,6,1,1.5,9,2,2.5,6.58558,0.0135739
Li,6,1,1.5,10,2,1.5,1.52966,0.0024878
Li,6,1,1.5,10,2,2.5,4.589,0.0074932
Li,4,3,2.5,7,2,1.5,0.481557,0.002127
Li,5,3,2.5,7,2,1.5,2.01922,0.0519169
Li,6,3,2.5,7,2,1.5,9.80254,0.0049013
Li,7,2,1.5,7,3,2.5,102.904,0.0514522
Li,7,2,1.5,8,3,2.5,45.6657,0.0228329
Li,7,2,1.5,9,3,2.5,17.6463,0.0088232
Li,7,2,1.5,10,3,2.5,10.1974,0.0050987
Li,4,3,2.5,7,2,2.5,0.128702,0.0005721
Li,4,3,3.5,7,2,2.5,0.57557,0.002549
Li,5,3,2.5,7,2,2.5,0.53966,0.0138891
Li,5,3,3.5,7,2,2.5,2.41343,0.0620817
Li,6,3,2.5,7,2,2.5,2.61977,0.0013099
Li,6,3,3.5,7,2,2.5,11.7161,0.0058581
Li,7,2,2.5,7,3,2.5,27.5023,0.0137512
Li,7,2,2.5,7,3,3.5,122.994,0.0614972
Li,7,2,2.5,8,3,2.5,12.2048,0.0061024
Li,7,2,2.5,8,3,3.5,54.5814,0.0272907
Li,7,2,2.5,9,3,2.5,4.7162,0.0023581
Li,7,2,2.5,9,3,3.5,21.0915,0.0105457
Li,7,2,2.5,10,3,2.5,2.72539,0.0013627
Li,7,2,2.5,10,3,3.5,12.1883,0.0060942
Li,2,1,0.5,7,0,0.5,0.169481,8.47e-05
Li,2,1,1.5,7,0,0.5,0.239683,0.0001198
Li,3,1,0.5,7,0,0.5,0.528373,0.0002642
Li,3,1,1.5,7,0,0.5,0.74723,0.0003736
Li,4,1,0.5,7,0,0.5,1.39191,0.000696
Li,4,1,1.5,7,0,0.5,1.96845,0.0009842
Li,5,1,0.5,7,0,0.5,4.14672,0.0020734
Li,5,1,1.5,7,0,0.5,5.86434,0.0029322
Li,6,1,0.5,7,0,0.5,25.2819,0.023573
Li,6,1,1.5,7,0,0.5,35.754,0.034187
Li,7,0,0.5,7,1,0.5,50.1536,0.0250768
